Text,Tag
"""Running every day improves your health.""",Health
"""Eating fruits and vegetables is essential.""",Health
"""Yoga is a great activity for relaxation.""",Activity
"""Hiking in the mountains is adventurous.""",Activity
"""Wearing vibrant colors is trendy this year.""",Fashion
"""Fashionable shoes are comfortable as well.""",Fashion
"""AI is transforming technology worldwide.""",Technology
"""New smartphones come with amazing features.""",Technology
"""Aerobics help in maintaining a fit body.""",Activity
"""Green tea has numerous health benefits.""",Health